"","person_age","person_income","person_home_ownership","person_emp_length","loan_intent","loan_grade","loan_amnt","loan_int_rate","loan_status","loan_percent_income","cb_person_default_on_file","cb_person_cred_hist_length"
"651",22,20400,"MORTGAGE",6,"EDUCATION","D",6000,15.99,"0",0.29,"Y",4
"652",24,20400,"MORTGAGE",5,"DEBTCONSOLIDATION","B",5500,10.99,"0",0.27,"N",4
"653",25,60000,"RENT",9,"EDUCATION","B",20000,26.749133789172,"1",0.33,"N",3
"654",25,54000,"RENT",1,"PERSONAL","D",20000,15.65,"1",0.37,"Y",3
"655",24,54000,"RENT",1,"PERSONAL","E",20000,17.04,"1",0.37,"Y",3
"656",23,60000,"RENT",3,"EDUCATION","B",20000,12.21,"1",0.33,"N",2
"657",21,20400,"OWN",2,"EDUCATION","C",1275,15.23,"0",0.06,"Y",3
"658",25,54000,"RENT",1,"DEBTCONSOLIDATION","D",20000,14.11,"1",0.37,"N",4
"659",24,60000,"RENT",0,"PERSONAL","B",20000,11.14,"1",0.33,"N",2
"660",21,20400,"OWN",5,"MEDICAL","B",2400,11.49,"0",0.12,"N",4
"661",24,60000,"RENT",8,"PERSONAL","D",20000,13.87,"1",0.33,"N",4
"662",26,60000,"RENT",3,"HOMEIMPROVEMENT","B",20000,10.08,"1",0.33,"N",4
"663",23,54504,"RENT",1,"PERSONAL","E",20000,16.7,"1",0.37,"Y",4
"664",24,55000,"RENT",2,"VENTURE","E",20000,18.64,"1",0.36,"N",2
"665",24,61000,"RENT",2,"HOMEIMPROVEMENT","B",20000,12.18,"1",0.33,"N",4
"666",22,20400,"OWN",0,"DEBTCONSOLIDATION","D",3800,21.3239916847634,"0",0.19,"Y",3
"667",25,62000,"RENT",3,"MEDICAL","A",20000,6.54,"1",0.32,"N",3
"668",24,56000,"RENT",3,"EDUCATION","D",20000,14.61,"1",0.36,"Y",4
"669",21,56000,"RENT",4,"VENTURE","E",20000,17.39,"1",0.36,"Y",3
"670",24,62400,"RENT",8,"HOMEIMPROVEMENT","B",20000,11.12,"1",0.32,"N",2
"671",25,62400,"RENT",7,"VENTURE","B",20000,11.48,"1",0.32,"N",2
"672",25,63000,"RENT",3,"MEDICAL","B",20000,12.42,"1",0.32,"N",3
"673",26,58000,"RENT",0,"DEBTCONSOLIDATION","B",20000,10.25,"1",0.34,"N",2
"674",23,65000,"RENT",0,"MEDICAL","B",20000,10.65,"1",0.31,"N",3
"675",24,20800,"OWN",0,"PERSONAL","D",5000,16.29,"0",0.24,"Y",3
"676",23,65000,"RENT",0,"MEDICAL","B",20000,10.37,"1",0.31,"N",2
"677",23,65000,"RENT",7,"VENTURE","B",20000,11.49,"1",0.31,"N",3
"678",25,20868,"OWN",0,"VENTURE","C",5375,13.49,"0",0.26,"Y",2
"679",26,59000,"RENT",3,"PERSONAL","C",20000,27.6820646590928,"1",0.34,"N",4
"680",23,59000,"RENT",7,"EDUCATION","C",20000,12.29,"1",0.34,"N",4
"681",21,21000,"MORTGAGE",5,"DEBTCONSOLIDATION","D",3500,17.27,"1",0.17,"Y",2
"682",26,65004,"RENT",7,"DEBTCONSOLIDATION","B",20000,11.99,"1",0.31,"N",2
"683",25,59004,"RENT",1,"PERSONAL","D",20000,14.84,"1",0.34,"Y",2
"684",23,59004,"RENT",5,"DEBTCONSOLIDATION","B",20000,10.83,"1",0.34,"N",2
"685",23,65500,"RENT",2,"DEBTCONSOLIDATION","C",20000,13.22,"1",0.31,"N",2
"686",22,66996,"RENT",3,"EDUCATION","B",20000,12.18,"0",0.3,"N",2
"687",23,67000,"RENT",0,"MEDICAL","B",20000,11.11,"0",0.3,"N",2
"688",24,67000,"RENT",5,"HOMEIMPROVEMENT","C",20000,13.48,"0",0.3,"Y",2
"689",26,68000,"RENT",10,"EDUCATION","B",20000,10.75,"0",0.29,"N",4
"690",25,68000,"RENT",4,"PERSONAL","C",20000,12.53,"0",0.29,"Y",4
"691",24,62400,"RENT",4,"DEBTCONSOLIDATION","D",20000,14.84,"1",0.32,"N",4
"692",23,69500,"RENT",3,"VENTURE","E",20000,17.74,"0",0.29,"Y",2
"693",25,70000,"RENT",5,"HOMEIMPROVEMENT","B",20000,9.99,"0",0.29,"N",2
"694",22,70000,"RENT",2,"PERSONAL","A",20000,6.91,"0",0.29,"N",4
"695",25,64000,"RENT",0,"HOMEIMPROVEMENT","E",20000,25.4459208496169,"1",0.31,"N",4
"696",25,71004,"RENT",9,"PERSONAL","D",20000,14.09,"0",0.28,"N",2
"697",22,21000,"MORTGAGE",4,"DEBTCONSOLIDATION","B",3000,11.49,"0",0.14,"N",3
"698",23,71004,"RENT",8,"EDUCATION","D",20000,14.09,"0",0.28,"N",3
"699",23,55392,"RENT",3,"MEDICAL","D",20000,15.2,"1",0.31,"Y",4
"700",24,72000,"RENT",5,"MEDICAL","B",20000,11.83,"0",0.28,"N",2
"701",24,21000,"OTHER",4,"PERSONAL","B",6000,12.21,"0",0.29,"N",2
"702",23,66000,"RENT",1,"VENTURE","D",20000,14.11,"1",0.3,"N",3
"703",22,66000,"RENT",3,"DEBTCONSOLIDATION","D",20000,14.42,"1",0.3,"N",2
"704",24,72000,"RENT",4,"HOMEIMPROVEMENT","D",20000,14.74,"0",0.28,"Y",3
"705",24,74000,"RENT",0,"HOMEIMPROVEMENT","B",20000,12.69,"0",0.27,"N",3
"706",22,21120,"MORTGAGE",3,"DEBTCONSOLIDATION","D",1625,16.89,"1",0.08,"Y",3
"707",25,75000,"RENT",8,"DEBTCONSOLIDATION","B",20000,23.7646056266149,"0",0.27,"N",4
"708",21,21216,"MORTGAGE",5,"HOMEIMPROVEMENT","D",4500,21.1729759876631,"1",0.21,"Y",2
"709",25,21221,"MORTGAGE",4,"VENTURE","B",8500,9.63,"0",0.4,"N",4
"710",24,75000,"RENT",4,"HOMEIMPROVEMENT","B",20000,8.88,"0",0.27,"N",3
"711",26,75000,"RENT",5,"MEDICAL","A",20000,6.91,"0",0.27,"N",4
"712",26,75000,"RENT",3,"EDUCATION","A",20000,19.9664230931791,"0",0.27,"N",3
"713",25,75000,"RENT",0,"PERSONAL","B",20000,10.38,"0",0.27,"N",3
"714",22,69000,"RENT",6,"DEBTCONSOLIDATION","B",20000,10.99,"1",0.29,"N",4
"715",22,75000,"RENT",2,"VENTURE","C",20000,26.573013132392,"0",0.27,"N",2
"716",21,21600,"MORTGAGE",6,"PERSONAL","A",7575,25.0408596460337,"0",0.35,"N",3
"717",26,21600,"OWN",5,"EDUCATION","B",5200,12.42,"0",0.24,"N",3
"718",24,69000,"RENT",0,"HOMEIMPROVEMENT","E",20000,14.82,"1",0.29,"N",4
"719",23,75600,"RENT",3,"PERSONAL","E",20000,16.32,"0",0.26,"Y",3
"720",23,59497,"RENT",0,"MEDICAL","E",20000,16,"1",0.29,"N",3
"721",23,76000,"RENT",7,"MEDICAL","B",20000,10.37,"0",0.26,"N",3
"722",26,70000,"RENT",7,"DEBTCONSOLIDATION","C",20000,13.16,"1",0.29,"N",3
"723",24,70000,"RENT",8,"VENTURE","E",20000,14.88,"1",0.29,"N",4
"724",22,77004,"RENT",6,"DEBTCONSOLIDATION","C",20000,13.98,"0",0.26,"N",4
"725",26,71004,"RENT",0,"HOMEIMPROVEMENT","D",20000,13.36,"1",0.28,"Y",2
"726",24,21600,"MORTGAGE",8,"MEDICAL","A",8000,5.42,"0",0.37,"N",2
"727",26,78000,"RENT",8,"HOMEIMPROVEMENT","C",20000,13.85,"0",0.26,"Y",4
"728",22,21600,"MORTGAGE",6,"VENTURE","C",1400,22.3639736878733,"0",0.06,"N",2
"729",23,61200,"RENT",4,"MEDICAL","B",20000,11.14,"1",0.28,"N",2
"730",21,21600,"MORTGAGE",2,"DEBTCONSOLIDATION","A",3800,5.99,"0",0.18,"N",2
"731",24,72000,"RENT",6,"DEBTCONSOLIDATION","D",20000,24.3784745381124,"1",0.28,"Y",4
"732",23,78000,"RENT",3,"VENTURE","B",20000,11.58,"0",0.26,"N",3
"733",23,78500,"RENT",7,"MEDICAL","C",20000,13.85,"0",0.25,"Y",4
"734",23,79000,"RENT",5,"EDUCATION","D",20000,16.89,"0",0.25,"Y",4
"735",23,80000,"RENT",4,"MEDICAL","A",20000,7.9,"0",0.25,"N",4
"736",23,21600,"OWN",2,"VENTURE","C",6000,12.68,"0",0.28,"N",4
"737",22,62900,"RENT",6,"MEDICAL","D",20000,14.91,"1",0.27,"N",4
"738",24,80000,"RENT",3,"VENTURE","C",20000,13.06,"0",0.25,"N",4
"739",25,80000,"RENT",7,"EDUCATION","B",20000,8.88,"0",0.25,"N",4
"740",23,21600,"MORTGAGE",7,"EDUCATION","A",2000,6.17,"0",0.09,"N",4
"741",22,80000,"RENT",3,"EDUCATION","C",20000,13.98,"0",0.25,"Y",4
"742",22,21600,"OWN",3,"VENTURE","A",8500,6.54,"0",0.39,"N",4
"743",26,62900,"RENT",2,"MEDICAL","C",20000,13.85,"1",0.27,"N",3
"744",26,21600,"MORTGAGE",0,"HOMEIMPROVEMENT","B",1000,10.36,"0",0.05,"N",3
"745",25,74004,"RENT",2,"PERSONAL","E",20000,15.95,"1",0.27,"Y",4
"746",25,80004,"RENT",9,"HOMEIMPROVEMENT","C",20000,14.26,"0",0.25,"Y",4
"747",23,80700,"RENT",7,"MEDICAL","B",20000,11.71,"0",0.25,"N",2
"748",22,81000,"RENT",3,"DEBTCONSOLIDATION","C",20000,13.49,"0",0.25,"N",4
"749",24,21600,"MORTGAGE",0,"DEBTCONSOLIDATION","D",2000,14.84,"1",0.09,"N",2
"750",22,82000,"RENT",6,"EDUCATION","C",20000,25.4479327774885,"0",0.24,"Y",2
"751",23,76042,"RENT",6,"HOMEIMPROVEMENT","D",20000,15.05,"1",0.26,"Y",4
"752",22,76654,"RENT",2,"EDUCATION","C",20000,13.79,"1",0.26,"Y",4
"753",24,83500,"RENT",1,"EDUCATION","C",20000,13.48,"0",0.24,"N",3
"754",23,84000,"RENT",7,"PERSONAL","B",20000,11.11,"0",0.24,"N",4
"755",25,84000,"RENT",9,"EDUCATION","C",20000,13.92,"0",0.24,"N",2
"756",23,21600,"OWN",0,"EDUCATION","B",4400,12.53,"0",0.2,"N",2
"757",21,21600,"MORTGAGE",2,"DEBTCONSOLIDATION","B",10000,11.14,"0",0.46,"N",2
"758",24,78996,"RENT",2,"HOMEIMPROVEMENT","D",20000,14.11,"1",0.25,"N",2
"759",23,85000,"RENT",0,"MEDICAL","A",20000,7.49,"0",0.24,"N",2
"760",25,85000,"RENT",3,"DEBTCONSOLIDATION","B",20000,10.25,"0",0.24,"N",3
"761",26,73000,"RENT",3,"PERSONAL","B",20000,12.53,"1",0.27,"N",2
"762",21,21816,"MORTGAGE",2,"PERSONAL","B",1500,11.86,"0",0.07,"N",3
"763",23,21840,"OWN",1,"VENTURE","A",9000,7.88,"0",0.41,"N",3
"764",25,85000,"RENT",4,"HOMEIMPROVEMENT","B",20000,24.0709116974033,"0",0.24,"N",2
"765",24,21948,"MORTGAGE",2,"VENTURE","D",4000,25.3321000335206,"0",0.18,"N",2
"766",22,87000,"RENT",5,"DEBTCONSOLIDATION","C",20000,13.85,"0",0.23,"N",4
"767",23,21996,"OWN",4,"PERSONAL","C",6000,13.23,"0",0.27,"N",4
"768",22,90000,"RENT",5,"PERSONAL","B",20000,14.9149263771937,"0",0.22,"N",4
"769",23,78000,"RENT",0,"HOMEIMPROVEMENT","F",20000,18.25,"1",0.26,"Y",2
"770",24,90000,"RENT",9,"DEBTCONSOLIDATION","A",20000,6.54,"0",0.22,"N",3
"771",23,90000,"RENT",2,"MEDICAL","B",20000,11.49,"0",0.22,"N",4
"772",26,90000,"RENT",10,"MEDICAL","B",20000,11.49,"0",0.22,"N",3
"773",22,22000,"MORTGAGE",6,"EDUCATION","B",7000,11.71,"0",0.32,"N",2
"774",23,90000,"RENT",0,"DEBTCONSOLIDATION","C",20000,13.57,"0",0.22,"N",4
"775",25,91229,"RENT",2,"EDUCATION","C",20000,14.35,"0",0.22,"N",3
"776",26,22000,"MORTGAGE",3,"DEBTCONSOLIDATION","B",3825,10.65,"0",0.17,"N",4
"777",22,92000,"RENT",6,"VENTURE","F",20000,15.65,"0",0.22,"Y",2
"778",22,22000,"MORTGAGE",3,"VENTURE","A",6500,21.2489170111931,"0",0.3,"N",4
"779",25,22000,"MORTGAGE",9,"EDUCATION","A",5875,6.62,"1",0.27,"N",2
"780",25,92407,"RENT",9,"MEDICAL","B",20000,9.25,"0",0.22,"N",2
"781",22,22000,"MORTGAGE",0,"MEDICAL","B",2400,11.71,"0",0.11,"N",3
"782",24,22000,"MORTGAGE",8,"PERSONAL","A",8000,5.42,"0",0.36,"N",4
"783",26,93492,"RENT",0,"DEBTCONSOLIDATION","B",20000,9.45,"0",0.21,"N",4
"784",23,22000,"MORTGAGE",5,"DEBTCONSOLIDATION","A",1550,7.49,"1",0.07,"N",2
"785",22,94500,"RENT",2,"PERSONAL","B",20000,16.176772631102,"0",0.21,"N",2
"786",23,83000,"RENT",7,"DEBTCONSOLIDATION","C",20000,19.8990881242312,"1",0.24,"N",2
"787",23,95000,"RENT",2,"EDUCATION","B",20000,10.99,"0",0.21,"N",2
"788",24,95000,"RENT",4,"HOMEIMPROVEMENT","D",20000,14.8764365791314,"0",0.21,"Y",3
"789",21,22000,"OWN",5,"VENTURE","A",7350,7.66,"0",0.33,"N",2
"790",23,96000,"RENT",1,"MEDICAL","C",20000,13.04,"0",0.21,"N",3
"791",22,22000,"MORTGAGE",6,"PERSONAL","A",7200,7.14,"0",0.33,"N",2
"792",22,85200,"RENT",6,"VENTURE","D",20000,15.65,"1",0.23,"Y",4
"793",22,98000,"RENT",2,"EDUCATION","B",20000,11.83,"0",0.2,"N",4
"794",24,22000,"OWN",1,"DEBTCONSOLIDATION","D",3000,16,"0",0.14,"Y",2
"795",23,99000,"RENT",7,"EDUCATION","D",20000,15.28,"0",0.2,"N",4
"796",21,22000,"OWN",2,"DEBTCONSOLIDATION","D",4000,15.05,"0",0.18,"N",4
"797",22,22000,"OWN",1,"DEBTCONSOLIDATION","D",8500,15.05,"0",0.39,"N",4
"798",24,99996,"RENT",0,"HOMEIMPROVEMENT","C",20000,14.22,"0",0.2,"Y",3
"799",25,87996,"RENT",0,"HOMEIMPROVEMENT","E",20000,16.35,"1",0.23,"N",3
"800",26,22000,"OWN",6,"VENTURE","B",7500,10.96,"0",0.34,"N",2
"801",25,1e+05,"RENT",9,"HOMEIMPROVEMENT","C",20000,13.06,"0",0.2,"N",2
"802",25,1e+05,"RENT",9,"HOMEIMPROVEMENT","C",20000,13.06,"0",0.2,"Y",2
"803",25,22000,"OWN",0,"VENTURE","E",7500,24.2285232823623,"0",0.34,"Y",3
"804",23,22080,"MORTGAGE",3,"EDUCATION","A",6700,20.7819065901216,"0",0.3,"N",4
"805",22,74800,"RENT",3,"MEDICAL","D",20000,14.96,"1",0.23,"Y",4
"806",23,74800,"RENT",1,"MEDICAL","E",20000,17.04,"1",0.23,"Y",2
"807",22,1e+05,"RENT",0,"PERSONAL","B",20000,12.21,"0",0.2,"N",3
"808",25,22260,"MORTGAGE",9,"PERSONAL","A",6400,7.88,"0",0.29,"N",4
"809",26,104000,"RENT",0,"DEBTCONSOLIDATION","B",20000,10.74,"0",0.19,"N",2
"810",23,93000,"RENT",6,"PERSONAL","C",20000,13.22,"1",0.22,"N",3
"811",23,95000,"RENT",0,"DEBTCONSOLIDATION","D",20000,14.59,"1",0.21,"Y",2
"812",25,108000,"RENT",0,"HOMEIMPROVEMENT","C",20000,23.9643127497123,"0",0.19,"N",4
"813",25,96901,"RENT",3,"PERSONAL","C",20000,22.879671033466,"1",0.21,"N",3
"814",23,110000,"RENT",3,"EDUCATION","B",20000,12.42,"0",0.18,"N",3
"815",22,110000,"RENT",7,"EDUCATION","C",20000,14.17,"0",0.18,"N",3
"816",22,110000,"RENT",6,"DEBTCONSOLIDATION","C",20000,13.72,"0",0.18,"N",3
"817",24,110000,"RENT",1,"PERSONAL","B",20000,10.38,"0",0.18,"N",4
"818",23,110000,"RENT",2,"VENTURE","B",20000,26.9473686800226,"0",0.18,"N",2
"819",22,22800,"MORTGAGE",5,"PERSONAL","A",2000,7.51,"0",0.09,"N",3
"820",22,22800,"MORTGAGE",0,"HOMEIMPROVEMENT","B",7125,11.71,"1",0.31,"N",3
"821",23,22800,"MORTGAGE",2,"PERSONAL","A",3000,8.9,"1",0.13,"N",2
"822",25,85000,"RENT",7,"MEDICAL","E",20000,17.39,"1",0.2,"N",2
"823",23,22800,"MORTGAGE",3,"PERSONAL","A",4800,5.79,"0",0.21,"N",2
"824",23,120000,"RENT",4,"MEDICAL","B",20000,10.37,"0",0.17,"N",4
"825",24,22800,"OWN",3,"HOMEIMPROVEMENT","B",4750,11.36,"0",0.21,"N",3
"826",24,121000,"RENT",8,"VENTURE","A",20000,8.9,"0",0.17,"N",3
"827",23,125000,"RENT",7,"VENTURE","B",20000,11.11,"0",0.16,"N",4
"828",22,22800,"MORTGAGE",0,"EDUCATION","A",3000,8.94,"0",0.13,"N",2
"829",25,130000,"RENT",0,"PERSONAL","C",20000,15.27,"0",0.15,"N",2
"830",26,130000,"RENT",10,"DEBTCONSOLIDATION","C",20000,13.11,"0",0.15,"Y",4
"831",23,22884,"MORTGAGE",4,"EDUCATION","E",6000,16,"0",0.26,"N",2
"832",24,133000,"RENT",3,"EDUCATION","D",20000,12.36,"0",0.15,"Y",2
"833",22,23000,"MORTGAGE",5,"DEBTCONSOLIDATION","A",10625,7.51,"0",0.46,"N",4
"834",21,23000,"MORTGAGE",2,"MEDICAL","A",7000,8.9,"0",0.3,"N",3
"835",25,140000,"RENT",9,"EDUCATION","A",20000,6.54,"0",0.14,"N",4
"836",24,138000,"RENT",2,"VENTURE","D",20000,15.99,"1",0.14,"Y",3
"837",23,23000,"MORTGAGE",7,"HOMEIMPROVEMENT","D",3600,17.27,"1",0.16,"Y",3
"838",26,221351.216285122,"RENT",1,"DEBTCONSOLIDATION","E",20000,17.99,"1",0.14,"N",3
"839",22,198943.073186381,"RENT",6,"PERSONAL","A",20000,7.49,"0",0.13,"N",4
"840",22,23000,"MORTGAGE",2,"DEBTCONSOLIDATION","B",4800,10,"0",0.21,"N",4
"841",26,83571.1954249172,"RENT",3,"HOMEIMPROVEMENT","B",20000,9.99,"0",0.13,"N",3
"842",26,158031.69407967,"RENT",1,"VENTURE","B",20000,11.36,"0",0.12,"N",4
"843",26,136670.993135872,"RENT",3,"HOMEIMPROVEMENT","B",20000,11.83,"0",0.12,"N",2
"844",21,23000,"MORTGAGE",6,"DEBTCONSOLIDATION","C",3000,13.35,"0",0.13,"N",3
"845",25,243419.104474652,"RENT",3,"DEBTCONSOLIDATION","C",20000,14.72,"0",0.11,"Y",2
"846",25,58000,"RENT",9,"MEDICAL","B",19900,11.83,"1",0.34,"N",4
"847",26,116000,"RENT",10,"MEDICAL","B",19800,11.48,"0",0.17,"N",4
"848",26,19500,"RENT",0,"MEDICAL","C",500,11.41,"0",0.03,"N",2
"849",25,23000,"MORTGAGE",4,"PERSONAL","C",10000,18.8822030907128,"1",0.43,"Y",2
"850",21,19000,"RENT",0,"EDUCATION","C",700,12.29,"0",0.04,"N",2
"851",22,23000,"MORTGAGE",4,"EDUCATION","D",7000,14.96,"0",0.3,"Y",3
"852",25,19000,"RENT",0,"DEBTCONSOLIDATION","C",750,12.29,"0",0.04,"Y",4
"853",22,10000,"RENT",0,"HOMEIMPROVEMENT","D",1000,14.74,"1",0.1,"N",4
"854",22,23000,"MORTGAGE",1,"EDUCATION","A",2400,9.63,"0",0.1,"N",4
"855",21,23000,"OTHER",0,"EDUCATION","B",2400,12.21,"0",0.1,"N",4
"856",22,11760,"RENT",0,"VENTURE","C",1000,13.98,"0",0.09,"N",4
"857",25,12000,"RENT",0,"EDUCATION","B",1000,10.65,"0",0.08,"N",2
"858",21,12000,"RENT",1,"EDUCATION","C",1000,13.98,"0",0.08,"N",2
"859",22,12000,"RENT",0,"PERSONAL","C",1000,13.57,"1",0.08,"N",3
"860",22,12240,"RENT",1,"PERSONAL","D",1000,14.96,"1",0.08,"Y",3
"861",21,14400,"RENT",1,"VENTURE","D",1000,16.29,"1",0.07,"N",4
"862",23,23040,"OWN",0,"VENTURE","B",2000,11.11,"0",0.09,"N",3
"863",21,23040,"OWN",1,"VENTURE","D",5000,23.4486338337384,"0",0.22,"N",3
"864",22,14400,"RENT",2,"VENTURE","E",1000,16.69,"1",0.07,"Y",3
"865",21,23040,"OWN",0,"EDUCATION","A",15000,8.94,"0",0.65,"N",2
"866",22,15000,"RENT",0,"MEDICAL","D",1000,14.3,"1",0.07,"Y",3
"867",21,16000,"RENT",2,"VENTURE","D",1000,15.65,"1",0.06,"Y",3
"868",22,16800,"RENT",2,"EDUCATION","C",1000,13.48,"0",0.06,"Y",4
"869",24,19200,"RENT",2,"EDUCATION","B",1000,12.53,"0",0.05,"N",4
"870",23,39600,"RENT",5,"EDUCATION","B",19000,10.62,"1",0.48,"N",2
"871",22,39900,"RENT",4,"VENTURE","B",19000,12.18,"1",0.48,"N",3
"872",25,47000,"RENT",4,"MEDICAL","B",19000,11.99,"1",0.4,"N",2
"873",25,50000,"RENT",2,"HOMEIMPROVEMENT","B",19000,10.99,"1",0.38,"N",4
"874",25,52000,"RENT",5,"MEDICAL","B",19000,23.4609521047031,"1",0.37,"N",4
"875",24,23500,"MORTGAGE",2,"DEBTCONSOLIDATION","B",7000,10.38,"0",0.3,"N",3
"876",26,47500,"RENT",10,"PERSONAL","E",19000,16.7,"1",0.4,"Y",4
"877",25,54000,"RENT",8,"DEBTCONSOLIDATION","C",19000,20.9980938928974,"1",0.35,"Y",4
"878",22,54000,"RENT",6,"VENTURE","A",19000,23.8628295136941,"1",0.35,"N",4
"879",23,54586,"RENT",5,"PERSONAL","B",19000,11.14,"1",0.35,"N",2
"880",26,62004,"RENT",5,"MEDICAL","A",19000,7.49,"1",0.31,"N",2
"881",22,70000,"RENT",1,"MEDICAL","B",19000,8.88,"0",0.27,"N",4
"882",23,72000,"RENT",3,"MEDICAL","B",19000,10.99,"0",0.26,"N",4
"883",24,73000,"RENT",8,"HOMEIMPROVEMENT","B",19000,10.62,"0",0.26,"N",3
"884",23,78000,"RENT",2,"VENTURE","A",19000,8.9,"0",0.24,"N",2
"885",25,23920,"MORTGAGE",0,"MEDICAL","D",6000,14.59,"1",0.25,"Y",2
"886",26,96000,"RENT",6,"PERSONAL","C",19000,13.22,"0",0.2,"Y",2
"887",24,105000,"RENT",2,"HOMEIMPROVEMENT","C",19000,12.29,"0",0.18,"Y",2
"888",24,82401.223559714,"RENT",1,"PERSONAL","B",19000,11.48,"0",0.11,"N",3
"889",26,50000,"RENT",10,"PERSONAL","B",18950,27.3293705010814,"1",0.38,"N",3
"890",26,55000,"RENT",7,"DEBTCONSOLIDATION","A",18800,6.99,"1",0.34,"N",2
"891",22,70000,"RENT",2,"DEBTCONSOLIDATION","B",18750,10.38,"0",0.27,"N",2
"892",22,36500,"RENT",0,"VENTURE","A",18725,6.54,"1",0.51,"N",3
"893",22,43000,"RENT",4,"DEBTCONSOLIDATION","B",18550,11.83,"1",0.43,"N",4
"894",24,24000,"OWN",0,"VENTURE","B",7100,12.42,"0",0.3,"N",3
"895",24,34300,"RENT",4,"MEDICAL","B",18500,10.71,"1",0.54,"N",2
"896",21,36000,"RENT",3,"EDUCATION","C",18500,10.91,"1",0.51,"N",3
"897",22,38000,"RENT",2,"MEDICAL","A",18500,7.66,"1",0.49,"N",4
"898",25,55784,"RENT",2,"DEBTCONSOLIDATION","C",18500,13.61,"1",0.33,"N",3
"899",23,74196,"RENT",2,"EDUCATION","B",18500,11.26,"0",0.25,"N",3
"900",25,75000,"RENT",0,"EDUCATION","A",18500,7.49,"0",0.25,"N",3
"901",24,73000,"RENT",0,"HOMEIMPROVEMENT","A",18500,7.9,"1",0.25,"N",2
"902",22,24000,"OWN",5,"MEDICAL","B",8000,9.91,"0",0.33,"N",2
"903",21,24000,"MORTGAGE",0,"VENTURE","A",3000,7.9,"0",0.13,"N",4
"904",24,78000,"RENT",1,"VENTURE","F",18500,15.33,"1",0.24,"N",2
"905",26,156468.920199017,"RENT",3,"EDUCATION","C",18500,12.87,"0",0.13,"Y",3
"906",22,24000,"MORTGAGE",5,"EDUCATION","A",5000,7.9,"0",0.21,"N",2
"907",22,48888,"RENT",1,"PERSONAL","C",18400,13.16,"1",0.38,"N",2
"908",22,50000,"RENT",2,"DEBTCONSOLIDATION","B",18400,9.99,"1",0.37,"N",2
"909",23,120000,"RENT",7,"PERSONAL","A",18400,8.9,"0",0.15,"N",2
"910",22,24000,"MORTGAGE",1,"VENTURE","C",5000,14.65,"1",0.21,"N",4
"911",25,24000,"MORTGAGE",0,"DEBTCONSOLIDATION","C",6000,13.49,"0",0.25,"Y",3
"912",22,34000,"RENT",0,"VENTURE","B",18250,10.25,"1",0.54,"N",3
"913",24,35004,"RENT",3,"PERSONAL","B",18250,11.49,"1",0.52,"N",4
"914",25,34500,"RENT",1,"VENTURE","E",18250,17.04,"1",0.53,"N",3
"915",23,42504,"RENT",0,"MEDICAL","B",18250,10.25,"1",0.43,"N",3
"916",22,24000,"MORTGAGE",4,"VENTURE","A",1300,5.42,"0",0.05,"N",3
"917",22,36996,"RENT",2,"PERSONAL","D",18250,14.61,"1",0.49,"Y",2
"918",24,45600,"RENT",2,"VENTURE","C",18250,13.35,"1",0.4,"N",4
"919",23,46000,"RENT",6,"PERSONAL","B",18250,10.75,"1",0.4,"N",2
"920",25,46000,"RENT",8,"DEBTCONSOLIDATION","C",18250,14.26,"1",0.4,"N",3
"921",25,55044,"RENT",4,"VENTURE","E",18250,17.56,"1",0.33,"N",2
"922",22,50000,"RENT",6,"DEBTCONSOLIDATION","E",18250,16.7,"1",0.36,"Y",3
"923",23,50000,"RENT",4,"VENTURE","B",18225,10.74,"1",0.36,"N",2
"924",26,44000,"RENT",0,"HOMEIMPROVEMENT","D",18225,14.91,"1",0.41,"N",4
"925",24,36000,"RENT",4,"VENTURE","B",18200,8.88,"1",0.51,"N",4
"926",25,36400,"RENT",2,"PERSONAL","B",18200,9.91,"1",0.5,"N",4
"927",22,36000,"RENT",6,"DEBTCONSOLIDATION","B",18200,11.71,"1",0.51,"N",3
"928",24,55000,"RENT",4,"EDUCATION","B",18200,10.99,"1",0.33,"N",2
"929",23,27000,"RENT",2,"VENTURE","C",18000,11.54,"1",0.67,"Y",4
"930",23,24000,"OWN",2,"EDUCATION","D",8000,15.62,"0",0.33,"N",2
"931",23,33000,"RENT",4,"VENTURE","B",18000,9.91,"1",0.55,"N",4
"932",21,30720,"RENT",5,"EDUCATION","C",18000,13.48,"1",0.59,"Y",4
"933",23,39996,"RENT",2,"EDUCATION","B",18000,9.25,"1",0.45,"N",4
"934",25,40000,"RENT",2,"MEDICAL","C",18000,13.11,"1",0.45,"Y",3
"935",22,24000,"MORTGAGE",2,"DEBTCONSOLIDATION","B",5000,10.99,"0",0.21,"N",4
"936",25,42000,"RENT",3,"VENTURE","A",18000,6.17,"1",0.43,"N",2
"937",24,24000,"MORTGAGE",3,"MEDICAL","A",8000,5.99,"0",0.33,"N",4
"938",24,24000,"OWN",1,"EDUCATION","A",2400,7.49,"0",0.1,"N",2
"939",24,42765,"RENT",9,"DEBTCONSOLIDATION","C",18000,11.03,"1",0.42,"Y",2
"940",24,43000,"RENT",9,"MEDICAL","A",18000,7.9,"1",0.42,"N",2
"941",22,44000,"RENT",7,"EDUCATION","C",18000,13.57,"1",0.41,"Y",4
"942",24,44000,"RENT",6,"VENTURE","B",18000,12.18,"1",0.41,"N",2
"943",25,39000,"RENT",3,"MEDICAL","E",18000,17.19,"1",0.46,"N",3
